Tester,Profile Number,3Dcard,CPU,RAM,VideoMem,Graphic driver,Resolutions,Full-screen,Texture scaling,Texture depth,Texture interpolation,Particle density,Video,Reflection,Frame interpolation
---,0,FALSE,266,64,,dx7,640x480,TRUE,low,16,linear,0,FALSE,FALSE,TRUE
---,1,TRUE,266,64,8,dx7,640x480,TRUE,medium,16,linear,1,FALSE,FALSE,TRUE
---,2,TRUE,266,64,16,dx7,640x480,TRUE,medium,16,linear,1,FALSE,FALSE,TRUE
---,3,TRUE,266,64,32,dx7,640x480,TRUE,high,32,linear,1,FALSE,FALSE,TRUE
---,4,TRUE,266,64,64,dx7,640x480,TRUE,high,32,linear,1,FALSE,FALSE,TRUE
---,5,FALSE,266,128,,dx7,640x480,TRUE,low,16,linear,0,FALSE,FALSE,TRUE
---,6,TRUE,266,128,8,dx7,640x480,TRUE,medium,16,linear,1,FALSE,FALSE,TRUE
---,7,TRUE,266,128,16,dx7,640x480,TRUE,medium,16,linear,1,FALSE,FALSE,TRUE
---,8,TRUE,266,128,32,dx7,640x480,TRUE,high,32,linear,1,FALSE,FALSE,TRUE
charles,9,TRUE,266,128,64,dx7,640x480,TRUE,high,32,linear,1,FALSE,FALSE,TRUE
---,10,FALSE,266,256,,dx7,640x480,TRUE,low,16,linear,0,FALSE,FALSE,TRUE
---,11,TRUE,266,256,8,dx7,640x480,TRUE,medium,16,linear,1,FALSE,FALSE,TRUE
---,12,TRUE,266,256,16,dx7,640x480,TRUE,medium,16,linear,1,FALSE,FALSE,TRUE
---,13,TRUE,266,256,32,dx7,640x480,TRUE,high,32,linear,1,FALSE,FALSE,TRUE
---,14,TRUE,266,256,64,dx7,640x480,TRUE,high,32,linear,1,FALSE,FALSE,TRUE
---,15,FALSE,450,64,,dx7,640x480,TRUE,low,16,linear,1,FALSE,FALSE,TRUE
---,16,TRUE,450,64,8,dx7,640x480,TRUE,medium,16,linear,1,FALSE,FALSE,TRUE
---,17,TRUE,450,64,16,dx7,640x480,TRUE,medium,16,linear,1,FALSE,FALSE,TRUE
---,18,TRUE,450,64,32,dx7,640x480,TRUE,high,32,linear,1,FALSE,FALSE,TRUE
---,19,TRUE,450,64,64,dx7,640x480,TRUE,high,32,linear,1,FALSE,FALSE,TRUE
---,20,FALSE,450,128,,dx7,640x480,TRUE,low,16,linear,1,FALSE,FALSE,TRUE
